"kernel","clonality","seedmass","maxmass","span_min","span_max","firstflower_min","firstflower_max","bankduration_max","bankduration_min","seednumber_min","seednumber_max","b0grow_min","b0grow_max","b0germ_min","b0germ_max","b0mort_min","b0mort_max","floron_min","floron_max","floroff_min","floroff_max","seedon_min","seedon_max","seedoff_min","seedoff_max","abund","sp_id"
"long-medium",TRUE,0.001,5,52,104,18.772773321718,105.595880214125,201.381088195406,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,100,"p-1"
"any",TRUE,0.0003,2,260,2600,18.772773321718,105.595880214125,107.642257423954,3.8755406702403,190,7200,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,53,"p-2"
"any",TRUE,0.001,5,104,1560,105.595880214125,105.595880214125,165.018522025072,3.8755406702403,850,10005,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,29,"p-3"
"short-long",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,9,144,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,69,"p-4"
"any",FALSE,0.001,5,52,104,18.772773321718,105.595880214125,203.342676619598,3.8755406702403,12.1,450,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,43,"p-5"
"long-short",FALSE,0.001,5,52,104,18.772773321718,105.595880214125,385.780391125008,3.8755406702403,81,100,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,48,"p-6"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,150.473840360449,3.8755406702403,108,1038.5,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,73,"p-7"
"long-medium",FALSE,0.001,5,52,104,18.772773321718,105.595880214125,149.45825105533,3.8755406702403,128,700,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,64,"p-8"
"any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,162.80085490169,3.8755406702403,2100,4605,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,67,"p-9"
"any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,163.372787868322,3.8755406702403,414,414,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,98,"p-10"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,150.492291970852,3.8755406702403,240,271,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,93,"p-11"
"any",TRUE,0.001,5,104,1560,105.595880214125,105.595880214125,165.547625809688,3.8755406702403,847,847,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,66,"p-12"
"any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,163.476968115897,3.8755406702403,3,3,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,49,"p-13"
"long-medium",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,153.194510502163,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,83,"p-14"
"any",TRUE,0.001,5,260,1560,18.772773321718,105.595880214125,176.598976665634,3.8755406702403,179,7308,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,91,"p-15"
"any",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,164.701746758842,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,43,"p-16"
"any",TRUE,0.001,5,1560,1560,18.772773321718,18.772773321718,173.815101312492,3.8755406702403,66.1,26000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,32,"p-17"
"medium",FALSE,0.001,5,622.230791644741,1199.98902523857,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,12,438,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,97,"p-18"
"any",TRUE,0.0003,2,52,1560,18.772773321718,18.772773321718,138.59326388606,3.8755406702403,100,13000,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,56,"p-19"
"short",TRUE,0.001,5,1560,1560,88.8983691876531,122.278892100574,135.071046070319,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,45,"p-20"
"any",FALSE,0.001,5,52,52,18.772773321718,18.772773321718,216.060733182059,3.8755406702403,92,92,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,39,"p-21"
